sigma,model,mean_fcr,median_fcr,n_trials
0.0,M4 (p/d),3.1130122475653232,2.2090781354933435,500
0.0,M4* (p/d^2),2.9834681745244382,2.194036643075431,500
0.1,M4 (p/d),3.109588679800958,2.1857663073313205,500
0.1,M4* (p/d^2),2.933961898616036,2.161727261922532,500
0.2,M4 (p/d),3.1572518787053507,2.291707010403548,500
0.2,M4* (p/d^2),3.0215130475942895,2.220251687403554,500
0.3,M4 (p/d),3.382487390569435,2.4021045188270422,500
0.3,M4* (p/d^2),3.094631336637155,2.1786507918557882,500
0.5,M4 (p/d),3.822189738463022,2.9410594914811385,500
0.5,M4* (p/d^2),3.3354317741597908,2.5171341684364483,500
0.8,M4 (p/d),4.166492260537915,2.998783623139129,500
0.8,M4* (p/d^2),3.6318228098871654,2.438476926779396,500
1.0,M4 (p/d),4.50851347715334,3.463889782693313,500
1.0,M4* (p/d^2),4.079969587139924,3.200415085620471,500
