trial,model,target_rank_in_tour,tour_length,fcr
0,M4* greedy,1,12.619188239063789,1.0
0,M4* 2-opt,1,11.857938388715493,1.0
1,M4* greedy,1,13.574249805237363,4.220368242525494
1,M4* 2-opt,2,12.04603548649473,4.1283313665449235
2,M4* greedy,2,13.051787205118142,1.9227895006487838
2,M4* 2-opt,5,12.401830019333268,9.526376340647703
3,M4* greedy,1,13.252577444946667,8.31271562592957
3,M4* 2-opt,1,13.03485191576509,7.823281865030681
4,M4* greedy,3,13.718640442814433,1.9814719055208458
4,M4* 2-opt,9,13.048793540307944,11.783571188159215
5,M4* greedy,1,9.332172450163315,3.981728597258188
5,M4* 2-opt,1,9.332172450163315,3.630085989325228
6,M4* greedy,4,13.431793418718414,1.5323249074580483
6,M4* 2-opt,3,12.529012414052339,1.8277901002446482
7,M4* greedy,4,13.079699398999974,1.6629226224884968
7,M4* 2-opt,4,12.999049795316864,1.6629226224884968
8,M4* greedy,4,11.982141330677635,1.3881527441666484
8,M4* 2-opt,3,11.341589591745748,1.0604011369671
9,M4* greedy,7,13.97139401078796,2.057845408293466
9,M4* 2-opt,3,12.670169179995499,1.219257980928029
10,M4* greedy,2,12.224508070151398,1.001848710286333
10,M4* 2-opt,2,10.845926557452147,1.001848710286333
11,M4* greedy,2,13.62296908902789,1.0016064732133136
11,M4* 2-opt,3,13.056234502242813,1.981363712824842
12,M4* greedy,4,12.26986565094643,1.9240542771882614
12,M4* 2-opt,4,10.265603414068943,1.6651744090341887
13,M4* greedy,3,13.570763466067804,4.269970002958958
13,M4* 2-opt,3,13.570763466067804,4.269970002958958
14,M4* greedy,1,13.52477875688725,6.798465099400175
14,M4* 2-opt,1,13.52477875688725,6.796316921422467
15,M4* greedy,4,13.388941532230309,2.3262816558992316
15,M4* 2-opt,4,11.621321126094795,2.3757795208975456
16,M4* greedy,3,13.634763466920539,1.9375167948013194
16,M4* 2-opt,5,12.286639140272614,4.1481479278974485
17,M4* greedy,3,10.66748747758543,1.5424812218578314
17,M4* 2-opt,3,10.66748747758543,1.5424812218578314
18,M4* greedy,5,13.314913738361364,6.095014252913909
18,M4* 2-opt,6,11.783894920293958,6.640435555617561
19,M4* greedy,2,13.498612721342708,5.054149787630081
19,M4* 2-opt,2,12.720151039980149,5.054149787630081
20,M4* greedy,1,11.762534291316115,6.928123488422777
20,M4* 2-opt,1,11.762534291316115,6.928123488422777
21,M4* greedy,2,13.599617898822679,4.555602513682292
21,M4* 2-opt,2,13.599617898822679,4.555602513682292
22,M4* greedy,1,11.75347682378012,3.750014491059471
22,M4* 2-opt,1,11.75347682378012,3.5639112987482595
23,M4* greedy,3,9.89027874074824,4.919095941431642
23,M4* 2-opt,3,9.89027874074824,4.762439425393005
24,M4* greedy,1,13.922206586345068,3.411993671725239
24,M4* 2-opt,1,13.922206586345068,3.1815436377911515
25,M4* greedy,2,12.922412038981756,1.1856523112946031
25,M4* 2-opt,4,11.914094933511041,2.041554266332162
26,M4* greedy,5,13.604215003609273,5.350169567845961
26,M4* 2-opt,5,12.589792797275027,4.858793534969566
27,M4* greedy,3,13.618044791803445,1.1566598796223464
27,M4* 2-opt,5,13.081957515169737,7.583381784742312
28,M4* greedy,1,11.208352574842014,1.0
28,M4* 2-opt,6,9.415953159946788,4.783459320189988
29,M4* greedy,5,7.995527346950865,1.9806524847526517
29,M4* 2-opt,5,7.995527346950865,1.9806524847526517
30,M4* greedy,2,13.142926154077063,1.0835010143384138
30,M4* 2-opt,3,12.739659131384965,1.218939523107737
31,M4* greedy,6,13.493602968097626,2.9491904680176484
31,M4* 2-opt,2,12.59385038182585,1.7272252271865425
32,M4* greedy,4,13.407697931245895,1.5066610414121087
32,M4* 2-opt,5,12.961737225221393,1.9558032962847385
33,M4* greedy,3,13.62482951289617,2.8400254089661865
33,M4* 2-opt,3,13.272298923213746,2.6120839124849633
34,M4* greedy,3,13.527428726017899,4.554273482740338
34,M4* 2-opt,4,12.327453469520417,4.279115736086899
35,M4* greedy,1,11.619708331902537,5.083896838411198
35,M4* 2-opt,1,11.619708331902537,4.7798610022659425
36,M4* greedy,4,13.280250263872762,3.93149996971721
36,M4* 2-opt,4,13.280250263872762,3.93149996971721
37,M4* greedy,1,10.654982389146896,4.0753010909039125
37,M4* 2-opt,1,10.654982389146896,4.0753010909039125
38,M4* greedy,2,13.356973146000058,5.5885421458446105
38,M4* 2-opt,2,13.356973146000058,5.5885421458446105
39,M4* greedy,3,11.76031655777745,1.7317235711289234
39,M4* 2-opt,2,9.997192327358187,1.7145934974444086
40,M4* greedy,4,12.127492814440489,1.5447629527198525
40,M4* 2-opt,5,11.96084127014996,3.10701292023667
41,M4* greedy,4,13.21951992425901,2.5830408083931826
41,M4* 2-opt,7,11.885932292856218,4.5243025459555115
42,M4* greedy,5,12.028523740401731,1.7097992741057682
42,M4* 2-opt,5,10.537929608097883,1.7097992741057682
43,M4* greedy,1,12.995247614140542,1.0
43,M4* 2-opt,4,10.527750329386066,5.586560930752023
44,M4* greedy,3,11.788152118451762,4.805018142500779
44,M4* 2-opt,3,11.788152118451762,4.672850507750733
45,M4* greedy,7,10.208690246095866,6.39416771612445
45,M4* 2-opt,7,9.819670858466,6.112400464144274
46,M4* greedy,1,13.91246701482422,3.6349430149107556
46,M4* 2-opt,1,13.91246701482422,3.4777458319313337
47,M4* greedy,5,13.329468830032283,2.719779477957735
47,M4* 2-opt,6,12.907632770375315,2.751657082398273
48,M4* greedy,1,13.107610736681023,3.7604694755643084
48,M4* 2-opt,1,13.107610736681023,3.566851640160973
49,M4* greedy,2,7.691610248310932,4.586679573180431
49,M4* 2-opt,2,7.691610248310932,4.586679573180431
50,M4* greedy,5,11.71854702958663,4.721022964174219
50,M4* 2-opt,4,9.895941215208175,4.0889358630110015
51,M4* greedy,2,13.221212948131601,1.0066572633238873
51,M4* 2-opt,4,12.701249223831997,3.373087564020632
52,M4* greedy,1,10.755122041616843,5.966491479823661
52,M4* 2-opt,1,10.755122041616843,5.599817413900891
53,M4* greedy,6,13.264594619595101,2.3921704108915818
53,M4* 2-opt,5,12.561245484048332,2.2066174504044964
54,M4* greedy,5,10.695085861701703,3.7989359313729465
54,M4* 2-opt,4,10.568987148633418,3.719514837893384
55,M4* greedy,4,13.592939897420965,1.5671130525864876
55,M4* 2-opt,4,12.57707045380472,1.5671130525864876
56,M4* greedy,8,12.722036155419493,3.3334793548281847
56,M4* 2-opt,2,11.75811120676359,1.1437465940282894
57,M4* greedy,6,13.492175925996024,4.188396897271672
57,M4* 2-opt,6,13.492175925996024,4.188396897271672
58,M4* greedy,3,12.447222964049732,2.0387687428275942
58,M4* 2-opt,3,12.373239356201003,2.7534813728872085
59,M4* greedy,1,8.00777345536428,8.342163366945403
59,M4* 2-opt,1,8.00777345536428,8.287988188559728
60,M4* greedy,3,12.171706169987623,1.4306115999966846
60,M4* 2-opt,5,11.513264884178597,3.4516156522546804
61,M4* greedy,2,13.429847490989197,1.358699057416906
61,M4* 2-opt,1,12.985576001069072,1.0
62,M4* greedy,3,13.303317991235073,1.3249550632711757
62,M4* 2-opt,3,13.303317991235073,1.3249550632711757
63,M4* greedy,6,13.59317632535028,4.7071842807118545
63,M4* 2-opt,12,13.105849716236532,9.433877740898467
64,M4* greedy,5,13.499403590791136,1.1641852389809184
64,M4* 2-opt,4,13.023561168805957,1.0694248408506806
65,M4* greedy,2,12.340429696539777,4.920258507852762
65,M4* 2-opt,3,11.075155782682415,4.972235545198606
66,M4* greedy,6,12.270078092781626,2.109947737621868
66,M4* 2-opt,7,11.42103857513582,2.2956722190494294
67,M4* greedy,4,13.479789260481988,4.185366236632746
67,M4* 2-opt,1,10.762753333571645,1.0
68,M4* greedy,4,11.425963945428652,5.256827692873084
68,M4* 2-opt,4,11.425963945428652,5.055275613699824
69,M4* greedy,2,13.840657393252167,5.707393716211211
69,M4* 2-opt,2,13.840657393252167,5.707393716211211
