R,model,mean_fcr
1,M1,39.3864
1,M2,5.3677
1,H_d,15.0815
1,M3,13.9374
1,M4,5.9813
1,M4*,5.6044
2,M1,24.4283
2,M2,3.4612
2,H_d,9.1822
2,M3,8.7715
2,M4,3.9233
2,M4*,3.9305
3,M1,18.9038
3,M2,2.8784
3,H_d,6.9133
3,M3,6.4570
3,M4,3.0654
3,M4*,3.0986
4,M1,15.9803
4,M2,2.6029
4,H_d,5.4028
4,M3,5.2684
4,M4,2.6861
4,M4*,2.6398
5,M1,14.6010
5,M2,2.3101
5,H_d,4.5419
5,M3,4.3504
5,M4,2.3785
5,M4*,2.3060
6,M1,12.5516
6,M2,2.1432
6,H_d,4.0916
6,M3,3.6824
6,M4,2.1939
6,M4*,2.0754
8,M1,11.6771
8,M2,1.9222
8,H_d,3.4508
8,M3,3.0602
8,M4,2.0439
8,M4*,1.9067
10,M1,10.1712
10,M2,1.8363
10,H_d,2.9598
10,M3,2.6430
10,M4,1.9243
10,M4*,1.8053
