trial,alpha_1.0,alpha_1.5,alpha_2.0,alpha_2.5,alpha_3.0,adaptive
0,11.473862020561866,1.0,1.0,1.0,1.0,12.305869615672785
1,4.220368242525494,4.220368242525494,4.220368242525494,4.220368242525494,4.279437728626185,4.220368242525494
2,1.0,1.0,1.9227895006487838,1.9227895006487838,1.9227895006487838,1.0
3,6.581643148186609,6.581643148186609,8.31271562592957,8.31271562592957,6.984590437511017,6.581643148186609
4,9.461478571282841,1.9814719055208458,1.9814719055208458,1.9814719055208458,1.9814719055208458,9.461478571282841
5,3.81321282645431,4.095890331775135,3.981728597258188,3.981728597258188,3.9730946136989207,3.81321282645431
6,1.0573189432710821,1.1745779141330717,1.5323249074580483,1.5323249074580483,1.5323249074580483,1.0573189432710821
7,1.673507345767679,1.673507345767679,1.6629226224884968,1.3751077421704512,1.3751077421704512,1.673507345767679
8,1.3881527441666484,1.3881527441666484,1.3881527441666484,1.3881527441666484,1.3881527441666484,1.3881527441666484
9,4.380129193212908,1.6171704241947877,2.057845408293466,2.057845408293466,1.759883921395138,1.349929432716892
10,1.001848710286333,1.001848710286333,1.001848710286333,1.001848710286333,1.001848710286333,1.001848710286333
11,1.0016064732133136,1.0016064732133136,1.0016064732133136,1.0910714815562845,1.0910714815562845,1.0016064732133136
12,1.360648800797797,1.360648800797797,1.9240542771882614,2.24055232564942,2.24055232564942,1.360648800797797
13,2.2151093612678063,4.269970002958958,4.269970002958958,5.952630014471533,4.314384632072695,2.2151093612678063
14,6.289759708057659,6.798465099400175,6.798465099400175,6.798465099400175,6.41823755821108,6.289759708057659
15,3.6834273228746284,3.158898091470805,2.3262816558992316,2.3262816558992316,2.3262816558992316,3.282502002333696
16,8.420790488376745,8.420790488376745,1.9375167948013194,1.9375167948013194,1.9375167948013194,8.420790488376745
17,1.532398591627227,1.532398591627227,1.5424812218578314,1.5424812218578314,1.7397899609232892,1.532398591627227
18,5.064857382124291,6.095014252913909,6.095014252913909,6.095014252913909,5.100685592000781,5.064857382124291
19,4.887540535679524,4.887540535679524,5.054149787630081,5.054149787630081,5.054149787630081,4.887540535679524
20,6.8575420226886115,7.148911629485682,6.928123488422777,6.928123488422777,6.928123488422777,6.8575420226886115
21,5.172507621185196,7.293630201290902,4.555602513682292,4.25264282230891,4.422810855162091,7.293630201290902
22,1.5602677159553595,1.0008659669299822,3.750014491059471,3.750014491059471,3.750014491059471,1.761214283450193
23,6.023751501253112,4.986371745507955,4.919095941431642,4.919095941431642,4.919095941431642,5.856075996615062
24,3.2586771410784054,3.411993671725239,3.411993671725239,3.259493998281052,3.259493998281052,3.2586771410784054
25,1.0,1.1856523112946031,1.1856523112946031,1.1856523112946031,1.1856523112946031,1.0
26,7.251079596595936,7.667878747495736,5.350169567845961,5.353095348938494,5.353095348938494,7.657067569264993
27,2.2726335550873307,1.1566598796223464,1.1566598796223464,1.1566598796223464,1.1566598796223464,2.2726335550873307
28,1.0,1.0,1.0,1.0,1.0,1.0
29,1.9806524847526517,1.9806524847526517,1.9806524847526517,2.1025583815665603,2.1025583815665603,1.9806524847526517
30,1.0835010143384138,1.0835010143384138,1.0835010143384138,1.0835010143384138,1.0835010143384138,1.0835010143384138
31,3.704776689459922,3.704776689459922,2.9491904680176484,1.3835065934984239,1.3835065934984239,3.704776689459922
32,1.628190792498684,1.628190792498684,1.5066610414121087,1.5066610414121087,1.0965653485998037,1.628190792498684
33,2.8926844836781167,2.8400254089661865,2.8400254089661865,2.8400254089661865,2.8400254089661865,2.8926844836781167
34,4.514572608039098,4.514572608039098,4.554273482740338,4.554273482740338,4.554273482740338,4.514572608039098
35,3.2015810071676847,5.083896838411198,5.083896838411198,5.083896838411198,5.252905402573716,3.182350696764877
36,4.361444274651631,3.93149996971721,3.93149996971721,3.93149996971721,3.93149996971721,4.560497617104238
37,1.2988142419607474,1.2988142419607474,4.0753010909039125,4.15231916518686,4.15231916518686,1.2988142419607474
38,5.018163552669147,5.018163552669147,5.5885421458446105,5.5885421458446105,5.5885421458446105,5.018163552669147
39,1.731093809419078,1.731093809419078,1.7317235711289234,1.7317235711289234,1.7317235711289234,1.731093809419078
40,5.015132904676062,1.5447629527198525,1.5447629527198525,1.5447629527198525,1.5447629527198525,1.5447629527198525
41,2.4235293786925407,2.5830408083931826,2.5830408083931826,2.5830408083931826,2.9905144943033295,2.4235293786925407
42,2.2334871393313884,5.431949835235947,1.7097992741057682,1.7097992741057682,1.8706600913181854,1.7097992741057682
43,1.0,1.0,1.0,1.0,1.0,1.0
44,7.3431873394369545,5.021040916642816,4.805018142500779,5.237124739784318,5.237124739784318,7.3431873394369545
45,6.535170134274424,6.467211345304952,6.39416771612445,6.39416771612445,6.495540294752054,3.191806756680013
46,4.12898684543426,2.985004756113094,3.6349430149107556,3.760995886461524,3.760995886461524,4.12898684543426
47,2.7056448933128356,2.7056448933128356,2.719779477957735,2.7056448933128356,2.7056448933128356,2.7056448933128356
48,1.2789315728586714,5.87389097667669,3.7604694755643084,3.6519745649920496,3.6519745649920496,3.8045853395992824
49,4.586679573180431,4.586679573180431,4.586679573180431,4.586679573180431,4.586679573180431,4.586679573180431
50,1.2221031199949335,4.294597088726408,4.721022964174219,4.71054014984497,4.678134757308998,1.2221031199949335
51,2.1184110964231637,1.0066572633238873,1.0066572633238873,1.0066572633238873,1.0066572633238873,2.1184110964231637
52,3.280103449634467,4.776643641052113,5.966491479823661,5.806192479102854,4.58044429322482,3.280103449634467
53,2.0265362553668846,2.3921704108915818,2.3921704108915818,4.200914176896736,4.200914176896736,2.3921704108915818
54,3.7989359313729465,3.7989359313729465,3.7989359313729465,3.7989359313729465,3.7989359313729465,3.7989359313729465
55,1.3249255732882963,1.5671130525864876,1.5671130525864876,1.5671130525864876,1.5703386316351358,1.3249255732882963
56,2.6442512127942903,9.67141020833109,3.3334793548281847,3.3334793548281847,6.509591201362758,3.0652666513082054
57,8.305908628643008,4.188396897271672,4.188396897271672,4.188396897271672,4.188396897271672,8.305908628643008
58,1.2837604526705864,1.3380042168753639,2.0387687428275942,1.3380042168753639,1.3131414607638736,1.2837604526705864
59,6.045272415639421,8.463864648131489,8.342163366945403,5.302704064372154,5.302704064372154,6.001719303429086
60,1.7687048920999064,1.7687048920999064,1.4306115999966846,1.4306115999966846,1.4306115999966846,1.7687048920999064
61,1.358699057416906,1.358699057416906,1.358699057416906,1.358699057416906,1.358699057416906,1.358699057416906
62,1.3249550632711757,1.3249550632711757,1.3249550632711757,1.3249550632711757,4.087865804798563,1.3249550632711757
63,3.0616950170362585,4.7071842807118545,4.7071842807118545,4.7071842807118545,4.7071842807118545,3.0616950170362585
64,1.086290394569786,1.1641852389809184,1.1641852389809184,1.1641852389809184,1.1641852389809184,1.086290394569786
65,2.3841211029040834,1.8704834594980475,4.920258507852762,4.923334438491056,4.923334438491056,4.448745057526148
66,2.067678571127015,2.3214315821447435,2.109947737621868,2.109947737621868,2.109947737621868,2.2794189890748595
67,4.185366236632746,4.185366236632746,4.185366236632746,4.185366236632746,4.185366236632746,4.185366236632746
68,5.055275613699824,5.256827692873084,5.256827692873084,5.83193866528951,4.7274275336708,5.055275613699824
69,9.771288731873604,9.771288731873604,5.707393716211211,5.707393716211211,5.719752957518747,9.771288731873604
70,1.0,1.1492391870823504,1.1492391870823504,1.0005177103016805,1.0005177103016805,1.0
71,1.5786048890586621,1.5786048890586621,1.5786048890586621,1.5786048890586621,6.188127586725123,1.5786048890586621
72,1.0552419218646882,1.0552419218646882,1.0552419218646882,2.5557699212652416,1.845392097824295,1.0552419218646882
73,1.1199470070249895,1.1199470070249895,1.1199470070249895,1.1199470070249895,1.1199470070249895,1.1199470070249895
74,2.2851963780572486,2.2851963780572486,2.290526823002417,2.290526823002417,2.290526823002417,2.2851963780572486
75,3.0001394270080004,2.184463913512377,2.184463913512377,2.184463913512377,1.7993622172359338,2.184463913512377
76,1.3189851694220986,1.5537291160394826,1.5537291160394826,1.5537291160394826,1.5537291160394826,1.5537291160394826
77,1.0428893184301258,1.0428893184301258,1.0428893184301258,1.0428893184301258,1.0428893184301258,1.0428893184301258
78,4.6576230965281615,5.255131403308848,4.657252520248899,3.256820353531746,3.256820353531746,4.6576230965281615
79,3.1083489993907922,3.187149235675843,3.187149235675843,3.187149235675843,3.187149235675843,3.1083489993907922
80,1.9848992325978194,1.9848992325978194,1.9848992325978194,1.9848992325978194,1.9848992325978194,1.9848992325978194
81,7.561968913738528,2.984778568312184,3.1571409866650506,4.077523374857016,1.5414209807736043,2.984778568312184
82,1.0,1.0,1.0,1.8737140051534231,1.8737140051534231,1.0
83,1.791062882582004,1.791062882582004,1.791062882582004,1.791062882582004,4.687301853191862,1.791062882582004
84,9.345968473374846,2.517913079848686,2.517913079848686,2.517913079848686,2.517913079848686,1.641662976409905
85,2.3690231856554367,2.3690231856554367,2.231584668275389,2.231584668275389,3.1571806172452375,2.3690231856554367
86,9.565263012838503,8.703037526502607,8.703037526502607,10.066389525014008,3.45686084183234,8.703037526502607
87,1.5264182181079462,1.5264182181079462,3.534890293097281,3.534890293097281,3.534890293097281,1.5264182181079462
88,1.684467192796475,1.684467192796475,1.684467192796475,1.7372297566445685,1.7372297566445685,1.684467192796475
89,13.308311964446911,1.0,13.437375018544275,11.155005997428201,11.155005997428201,13.396295212502178
90,1.3355027584672388,1.3725372781095195,1.3725372781095195,1.3725372781095195,1.3725372781095195,1.3355027584672388
91,2.192500842355399,1.928112138450547,2.1068107674072465,1.9805613935828095,1.9805613935828095,2.192500842355399
92,5.988590762758819,5.988590762758819,1.2523545304950663,1.2523545304950663,1.2523545304950663,5.988590762758819
93,9.646369318156122,9.646369318156122,9.659542052850238,5.717561173859012,5.717561173859012,9.646369318156122
94,5.594244207603391,1.6318645176393614,5.417940017575192,4.922506784504608,4.922506784504608,5.594244207603391
95,1.3131268830908325,1.3131268830908325,1.3131268830908325,1.3131268830908325,3.658493294056983,1.3131268830908325
96,1.5069468849608034,7.047527558412838,4.748723174492094,7.133031584689443,7.133031584689443,1.5069468849608034
97,2.5753741892170465,2.5753741892170465,2.5753741892170465,1.0,1.0,2.5753741892170465
98,2.1690771490770437,2.1690771490770437,8.160329102458535,8.160329102458535,8.160329102458535,2.1690771490770437
99,1.0,1.0351952303420542,1.0351952303420542,1.0351952303420542,1.0351952303420542,1.0
100,1.0,1.0,1.0,1.4260848458218682,1.4260848458218682,1.0
101,2.1600613185822835,2.1600613185822835,2.1600613185822835,4.231005266660438,4.231005266660438,2.1600613185822835
102,1.0,1.3712196673142303,1.3712196673142303,1.3712196673142303,1.3712196673142303,1.0
103,1.4170834730168913,1.4170834730168913,1.4170834730168913,1.4170834730168913,1.4170834730168913,1.4170834730168913
104,1.0005606964360798,1.0005606964360798,1.0005606964360798,3.8419160730933353,3.8419160730933353,1.0005606964360798
105,8.221709240607018,7.897261917724568,7.897261917724568,6.043572529695507,6.043572529695507,8.221709240607018
