prior_type,model,fcr
concentrated,M2,1.000000
concentrated,M2,1.000000
concentrated,M2,1.396931
concentrated,M2,2.409501
concentrated,M2,4.843836
concentrated,M2,1.156139
concentrated,M2,13.091197
concentrated,M2,1.000000
concentrated,M2,1.195948
concentrated,M2,2.369074
concentrated,M2,1.000000
concentrated,M2,2.604254
concentrated,M2,1.000000
concentrated,M2,1.016669
concentrated,M2,1.000000
concentrated,M2,1.000000
concentrated,M2,1.000000
concentrated,M2,1.565079
concentrated,M2,1.715804
concentrated,M2,1.839904
concentrated,M2,1.033854
concentrated,M2,1.613555
concentrated,M2,2.135043
concentrated,M2,1.000000
concentrated,M2,1.030992
concentrated,M2,1.185351
concentrated,M2,3.187327
concentrated,M2,1.393734
concentrated,M2,2.664821
concentrated,M2,1.194787
concentrated,M2,1.066242
concentrated,M2,1.000000
concentrated,M2,2.743402
concentrated,M2,1.318893
concentrated,M2,1.850285
concentrated,M2,1.601316
concentrated,M2,1.810171
concentrated,M2,1.000000
concentrated,M2,1.000000
concentrated,M2,1.270872
concentrated,M2,1.000000
concentrated,M2,1.000000
concentrated,M2,1.201149
concentrated,M2,1.176326
concentrated,M2,2.968914
concentrated,M2,1.827631
concentrated,M2,4.586421
concentrated,M2,1.499940
concentrated,M2,1.000000
concentrated,M2,1.000000
concentrated,M2,2.138920
concentrated,M2,5.197927
concentrated,M2,1.760790
concentrated,M2,1.000000
concentrated,M2,1.027248
concentrated,M2,1.364770
concentrated,M2,2.091352
concentrated,M2,1.386246
concentrated,M2,1.000000
concentrated,M2,1.865071
concentrated,M2,1.078967
concentrated,M2,1.000000
concentrated,M2,1.440462
concentrated,M2,1.061839
concentrated,M2,1.086063
concentrated,M2,1.931197
concentrated,M2,3.734416
concentrated,M2,2.139186
concentrated,M2,1.993928
concentrated,M2,1.018681
concentrated,M2,1.000000
concentrated,M2,1.000000
concentrated,M2,1.940973
concentrated,M2,4.856470
concentrated,M2,4.784978
concentrated,M2,2.616083
concentrated,M2,1.000000
concentrated,M2,1.000000
concentrated,M2,1.834001
concentrated,M2,1.000000
concentrated,M2,1.000000
concentrated,M2,5.247563
concentrated,M2,3.642986
concentrated,M2,1.133102
concentrated,M2,1.528733
concentrated,M2,1.122813
concentrated,M2,1.535840
concentrated,M2,1.000000
concentrated,M2,1.449915
concentrated,M2,1.000000
concentrated,M2,1.000000
concentrated,M2,1.329517
concentrated,M2,2.353957
concentrated,M2,1.001119
concentrated,M2,1.000000
concentrated,M2,1.000000
concentrated,M2,1.000000
concentrated,M2,1.422026
concentrated,M2,3.915625
concentrated,M2,1.829071
concentrated,M2,4.527783
concentrated,M2,1.000000
concentrated,M2,2.302921
concentrated,M2,1.164453
concentrated,M2,1.068694
concentrated,M2,4.809731
concentrated,M2,2.366540
concentrated,M2,1.160797
concentrated,M2,4.579430
concentrated,M2,1.159275
concentrated,M2,1.000000
concentrated,M2,1.000000
concentrated,M2,1.000000
concentrated,M2,2.450134
concentrated,M2,2.009220
concentrated,M2,4.193825
concentrated,M2,1.531903
concentrated,M2,1.052114
concentrated,M2,1.286846
concentrated,M2,1.000000
concentrated,M2,1.866449
concentrated,M2,1.002581
concentrated,M2,1.000000
concentrated,M2,1.823905
concentrated,M2,1.000000
concentrated,M2,2.781743
concentrated,M2,1.000000
concentrated,M2,1.972573
concentrated,M2,2.835840
concentrated,M2,1.000000
concentrated,M2,2.286526
concentrated,M2,1.985770
concentrated,M2,1.578541
concentrated,M2,1.028763
concentrated,M2,1.000000
concentrated,M2,1.000000
concentrated,M2,1.716672
concentrated,M2,1.295385
concentrated,M2,13.393903
concentrated,M2,1.000000
concentrated,M2,1.000000
concentrated,M2,2.768242
concentrated,M2,1.000000
concentrated,M2,1.000000
concentrated,M2,1.000000
concentrated,M2,2.039728
concentrated,M2,1.000000
concentrated,M2,1.000000
concentrated,M2,4.216529
concentrated,M2,1.000000
concentrated,M2,1.000000
concentrated,M2,1.000000
concentrated,M2,1.000000
concentrated,M2,1.397179
concentrated,M2,2.446781
concentrated,M2,3.147943
concentrated,M2,1.000000
concentrated,M2,1.000000
concentrated,M2,1.045842
concentrated,M2,2.402128
concentrated,M2,1.000000
concentrated,M2,1.000000
concentrated,M2,1.000000
concentrated,M2,1.447122
concentrated,M2,1.000000
concentrated,M2,5.494463
concentrated,M2,1.300896
concentrated,M2,3.846564
concentrated,M2,1.000000
concentrated,M2,1.117871
concentrated,M2,3.488089
concentrated,M2,1.000000
concentrated,M2,1.000000
concentrated,M2,3.500510
concentrated,M2,1.775950
concentrated,M2,1.000000
concentrated,M2,2.510925
concentrated,M2,1.000000
concentrated,M2,1.000000
concentrated,M2,1.531078
concentrated,M2,1.144534
concentrated,M2,1.000000
concentrated,M2,1.000000
concentrated,M2,1.000000
concentrated,M2,1.000000
concentrated,M2,1.329421
concentrated,M2,1.000000
concentrated,M2,1.000000
concentrated,M2,1.000000
concentrated,M2,1.000000
concentrated,M2,6.038896
concentrated,M2,1.000000
concentrated,M2,2.611220
concentrated,M2,1.508537
concentrated,M2,1.593789
concentrated,M2,1.102768
concentrated,M2,1.016060
concentrated,M2,1.000000
concentrated,M2,1.070287
concentrated,M2,1.208466
concentrated,M2,1.000000
concentrated,M2,1.000000
concentrated,M2,2.018176
concentrated,M2,1.000000
concentrated,M2,1.019965
concentrated,M2,1.263899
concentrated,M2,2.030071
concentrated,M2,1.066217
concentrated,M2,3.342451
concentrated,M2,1.089457
concentrated,M2,2.836767
concentrated,M2,1.000000
concentrated,M2,1.000000
concentrated,M2,1.915304
concentrated,M2,1.138409
concentrated,M2,1.000000
concentrated,M2,1.000000
concentrated,M2,1.000000
concentrated,M2,2.948046
concentrated,M2,3.737977
concentrated,M2,1.000000
concentrated,M2,2.344846
concentrated,M2,1.000000
concentrated,M2,1.000000
concentrated,M2,11.452797
concentrated,M2,1.443410
concentrated,M2,3.635112
concentrated,M2,1.433405
concentrated,M2,1.078907
concentrated,M2,1.595998
concentrated,M2,1.000000
concentrated,M2,5.129957
concentrated,M2,2.429280
concentrated,M2,1.858273
concentrated,M2,1.000000
concentrated,M2,2.085362
concentrated,M2,1.000000
concentrated,M2,1.000000
concentrated,M2,1.000000
concentrated,M2,2.949024
concentrated,M2,1.003797
concentrated,M2,1.000000
concentrated,M2,2.895651
concentrated,M2,1.397798
concentrated,M2,1.000000
concentrated,M2,1.000000
concentrated,M2,1.522571
concentrated,M2,1.000000
concentrated,M2,1.213201
concentrated,M2,1.485988
concentrated,M2,2.271116
concentrated,M2,1.692245
concentrated,M2,1.211692
concentrated,M2,1.037506
concentrated,M2,1.000000
concentrated,M2,1.000000
concentrated,M2,1.277875
concentrated,M2,1.000000
concentrated,M2,1.000000
concentrated,M2,2.380885
concentrated,M2,3.163887
concentrated,M2,1.000000
concentrated,M2,2.031791
concentrated,M2,3.215510
concentrated,M2,1.101160
concentrated,M2,2.427010
concentrated,M2,1.047119
concentrated,M2,1.861825
concentrated,M2,2.188191
concentrated,M2,1.134941
concentrated,M2,1.402493
concentrated,M2,1.220604
concentrated,M2,1.000000
concentrated,M2,1.000000
concentrated,M2,1.000000
concentrated,M2,1.017021
concentrated,M2,1.000000
concentrated,M2,2.931890
concentrated,M2,1.000000
concentrated,M2,1.254504
concentrated,M2,1.000000
concentrated,M2,1.000000
concentrated,M2,1.315027
concentrated,M2,1.789515
concentrated,M2,6.132206
concentrated,M2,1.000000
concentrated,M2,3.736340
concentrated,M2,2.505432
concentrated,M2,1.036457
concentrated,M2,1.000000
concentrated,M2,1.000000
concentrated,M2,2.189603
concentrated,M2,1.000000
concentrated,M2,1.000000
concentrated,M2,1.443035
concentrated,M2,1.042611
concentrated,M2,1.000000
concentrated,M2,2.301020
concentrated,M2,4.318254
concentrated,M2,2.996284
concentrated,M2,2.622961
concentrated,M2,1.232878
concentrated,M2,1.000000
concentrated,M2,4.825412
concentrated,M2,1.697687
concentrated,M2,1.930957
concentrated,M2,1.673228
concentrated,M2,1.144859
