prior_type,model,mean_fcr,std_fcr,n
concentrated,M2,1.8874,1.6540,500
concentrated,M4*,1.8630,1.4269,500
concentrated,M4,1.9671,1.7071,500
concentrated,M3,2.6592,2.9431,500
concentrated,H_d,6.8527,3.6488,500
concentrated,M1,6.8603,8.1760,500
moderate,M2,3.0505,2.8033,500
moderate,M4*,3.1949,2.1525,500
moderate,M4,3.2852,2.5477,500
moderate,M3,6.5046,4.8225,500
moderate,H_d,6.9751,3.5607,500
moderate,M1,18.0773,15.6489,500
diffuse,M2,2.9166,2.8333,500
diffuse,M4*,3.0564,2.1127,500
diffuse,M4,3.1730,2.4468,500
diffuse,M3,6.1340,5.1837,500
diffuse,H_d,6.9803,3.5320,500
diffuse,M1,16.9670,15.9017,500
near-uniform,M2,3.1228,2.6009,500
near-uniform,M4*,3.2721,2.1123,500
near-uniform,M4,3.3542,2.2565,500
near-uniform,M3,6.7234,4.1784,500
near-uniform,H_d,6.8968,3.4242,500
near-uniform,M1,20.0955,17.5571,500
power-law,M2,2.2319,1.7519,500
power-law,M4*,2.5217,1.7554,500
power-law,M4,2.4318,1.7909,500
power-law,M3,4.0777,3.4455,500
power-law,H_d,7.0867,3.5381,500
power-law,M1,11.7673,12.5780,500
